,cid,line_lib,code,price_subtotal,fac_ref,agence_name,company_name,lib_clean,lib_short
81804,2,"Location, installation et repliement des WC chimiques",09,500.0,P210163,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
81860,2,Mise en place d'un WC chimique,09,312.0,P210010,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
81915,2,Amenée et repli du matériel et matériaux sur chantier y compris WC chimique,09,1500.0,P210042,75 ALLIANCE BTP,ALLIANCE BTP,amenee et repli du materiel et materiaux sur chantier compris wc chimique,amenee et repli du materiel et materiaux sur chantier compris wc chimique
82122,2,Mise en place d'un WC chimique,09,312.0,P210011,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
82323,2,Location de WC chimique pendant la durée des travaux,09,114.0,P210044,59 ALLIANCE BTP,ALLIANCE BTP,location de wc chimique pendant la duree des travaux,location de wc chimique pendant la duree des travaux
82370,2,"Location pour la durée des travaux, installation et repliement d'une base de vie et de WC chimiques (1 mois pour la réalisation des MP et 2 mois et demi pour la longrine y compris délais de séchage intermédiaire)",09,411.0,P210166,75 ALLIANCE BTP,ALLIANCE BTP,location pour la duree des travaux installation et repliement une base de vie et de wc chimiques mois pour la realisation des mp et mois et demi pour la longrine compris delais de sechage intermediaire,location pour la duree des travaux installation et repliement une base de vie et de wc chimiques mois pour la realisation des mp et mois et demi pour la longrine compris delais de sechage intermediaire
82457,2,"Fourniture et mise en oeuvre d'un WC chimique, y compris vidange hebdomadaire - Durée de location : 1 mois
Installation d'une plateforme motorisée de type MODULO permettant l'accès aux balcons du 11ème au 13ème étage depuis la façade de l'immeuble - Selon dossier technique établi par la Sté SKY ACCES, joint en annexe de la présente offre, comprenant :
- Location Plateforme MODULO durant les travaux, longeur maxi 12m ;
- Plancher, garde-corps et lisse supérieure en aluminium ;
- Treuils montés sur les étriers d'extrémité ;
- Transport A/R ;
- Location d'une grue mobile pour installation / Démontage ;
- Montage / Démontage ;
- Réception par un organisme de contrôle indépendant (Validité 6 mois).",09,187.5,P201311,30 ALLIANCE BTP,ALLIANCE BTP,fourniture et mise en oeuvre un wc chimique compris vidange hebdomadaire duree de location mois installation une plateforme motorisee de type modulo permettant acces aux balcons du eme au eme etage depuis la facade de immeuble selon dossier technique etabli par la ste sky acces joint en annexe de la presente offre comprenant location plateforme modulo durant les travaux longeur maxi plancher garde corps et lisse superieure en aluminium treuils montes sur les etriers extremite transport location une grue mobile pour installation demontage montage demontage reception par un organisme de controle independant validite mois,fourniture et mise en oeuvre un wc chimique compris vidange hebdomadaire duree de location mois installation une plateforme motorisee de type modulo permettant acces aux balcons du eme au eme etage depuis la facade de immeuble selon dossier technique etabli par la ste sky acces joint en annexe de la presente offre comprenant location plateforme modulo durant les travaux longeur maxi plancher garde corps et lisse superieure en aluminium treuils montes sur les etriers extremite transport location une grue mobile pour installation demontage montage demontage reception par un organisme de controle independant validite mois
82494,2,WC chimique,02,165.0,P210045,75 ALLIANCE BTP,ALLIANCE BTP,wc chimique,wc chimique
82626,2,"Installation de chantier y compris WC chimique
Mise en place d'un tableau de chantier avec bouton d'arrêt d'urgence",09,1200.0,P201454,75 ALLIANCE BTP,ALLIANCE BTP,installation de chantier compris wc chimique mise en place un tableau de chantier avec bouton arret urgence,installation de chantier compris wc chimique mise en place un tableau de chantier avec bouton arret urgence
82690,2,"Location, installation et repliement de WC chimiques",09,124.5,P210012,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement de wc chimiques,location installation et repliement de wc chimiques
82828,2,Mise en place d'un roulotte de chantier y compris WC chimique,09,850.0,P210062,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un roulotte de chantier compris wc chimique,mise en place un roulotte de chantier compris wc chimique
82918,2,Mise en place d'un WC chimique pendant la durée des travaux,09,700.0,P210063,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
82983,2,Mise en place d'un WC chimique pendant la durée des travaux,09,312.0,P201459,59 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
83019,2,"Installation de WC chimiques pendant la durée du chantier, conformément à la législation du code du travail",09,270.0,P210013,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail
83098,2,"Location, installation et repliement des WC chimiques",09,159.0,P210027,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
83169,2,Installation de WC chimiques pendant la durée du chantier,09,450.0,P201405,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimiques pendant la duree du chantier,installation de wc chimiques pendant la duree du chantier
83188,2,Installation d'un WC chimique pour la durée du chantier,09,270.0,P210052,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
83232,2,"Location, installation et repliement des WC chimiques",09,700.0,P210028,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
83249,2,Mise en place d'un WC chimique pendant la durée des travaux,09,600.0,P210058,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
83363,2,"Location, installation et repliement des WC chimiques",09,210.0,P210015,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
83439,2,"Location, installation et repliement des WC chimiques",09,312.0,P201460,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
83441,2,Location et installation de wc chimique,09,150.0,P201484,75 ALLIANCE BTP,ALLIANCE BTP,location et installation de wc chimique,location et installation de wc chimique
83534,2,"Location, installation et repliement du WC chimiques",09,750.0,P201425,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimiques,location installation et repliement du wc chimiques
83556,2,"Location, installation et repliement du wc chimique",09,420.0,P210030,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimique,location installation et repliement du wc chimique
83575,2,Mise en place d'un WC chimique pendant la durée des travaux,09,150.0,P201461,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
83716,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,840.0,P210001,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
83792,2,"Amenée du matériel, mise en place d'un tableau avec bouton d'arrêt d'urgence et protection, avec WC chimique",09,850.0,P201386,69 ALLIANCE BTP,ALLIANCE BTP,amenee du materiel mise en place un tableau avec bouton arret urgence et protection avec wc chimique,amenee du materiel mise en place un tableau avec bouton arret urgence et protection avec wc chimique
83807,2,"Location, installation et repliement des WC chimiques",09,312.0,P201288,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
83841,2,Mise en place d'un WC chimiques pendant la durée des travaux,09,138.0,P201237,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimiques pendant la duree des travaux,mise en place un wc chimiques pendant la duree des travaux
83954,2,"Mise en place d'un WC chimique pendant la durée des travaux (environ 1 mois de travaux)
Détection des réseaux (pour mémoire) les réseaux à l'intérieur des vides sanitaires sont supposés apparents",09,108.0,P210002,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux environ mois de travaux detection des reseaux pour memoire les reseaux interieur des vides sanitaires sont supposes apparents,mise en place un wc chimique pendant la duree des travaux environ mois de travaux detection des reseaux pour memoire les reseaux interieur des vides sanitaires sont supposes apparents
84007,2,Installation d'un WC chimique pour la durée du chantier,09,270.0,P201465,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
84058,2,"Location, installation et repliement de wc chimiques",09,123.75,P210003,69 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement de wc chimiques,location installation et repliement de wc chimiques
84128,2,Mise en place d'un wc chimique,09,157.5,P210004,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
84138,2,Mise en place d''une base de vie comprenant une roulotte et un WC chimique,09,960.0,P201387,69 ALLIANCE BTP,ALLIANCE BTP,mise en place une base de vie comprenant une roulotte et un wc chimique,mise en place une base de vie comprenant une roulotte et un wc chimique
84170,2,Amenée du matériel et installation de chantier avec mise en place d'un WC chimique et d'une roulotte de chantier pendant la durée des travaux si nécessaire,09,246.0,P210005,69 ALLIANCE BTP,ALLIANCE BTP,amenee du materiel et installation de chantier avec mise en place un wc chimique et une roulotte de chantier pendant la duree des travaux si necessaire,amenee du materiel et installation de chantier avec mise en place un wc chimique et une roulotte de chantier pendant la duree des travaux si necessaire
84218,2,Mise en place d'un wc chimique,09,81.0,P201441,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
84287,2,"Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,126.0,P201391,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
84446,2,"Etat des lieux avant démarrage des travaux
Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,165.0,P201364,13 ALLIANCE BTP,ALLIANCE BTP,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
84689,2,Mise en place d'un WC chimique pendant la durée des travaux,04,350.0,P201392,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
84706,2,"Location, installation et repliement des WC chimiques",09,1350.0,P201450,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
84758,2,Mise en place d'un WC chimique pendant la durée des travaux (2 mois),09,225.0,P200874,59 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux mois,mise en place un wc chimique pendant la duree des travaux mois
84880,2,Mise en place d'un WC chimique pendant la durée des travaux,09,270.0,P201365,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
84904,2,"Location, installation et repliement du WC chimique",09,550.0,P201324,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimique,location installation et repliement du wc chimique
84983,2,"Etat des lieux avant démarrage des travaux
Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,165.0,P201384,13 ALLIANCE BTP,ALLIANCE BTP,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
85054,2,Mise en place d'un WC chimique pendant la durée des travaux,09,90.0,P201367,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85156,2,Mise en place d'un WC chimique pendant la durée des travaux,09,1720.0,P201212,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85174,2,Installation de WC chimiques pendant la durée du chantier,09,475.0,P201396,75 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimiques pendant la duree du chantier,installation de wc chimiques pendant la duree du chantier
85176,2,Mise en place d'un WC chimique pendant la durée des travaux,09,228.0,P201416,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85217,2,"Fourniture et mise en oeuvre d'un WC chimique, y compris vidange hebdomadaire - Durée de location : 1 mois
Installation d'une plateforme motorisée de type MODULO permettant l'accès aux balcons du 11ème au 13ème étage depuis la façade de l'immeuble - Selon dossier technique établi par la Sté SKY ACCES, joint en annexe de la présente offre, comprenant :
- Location Plateforme MODULO durant les travaux, longeur maxi 12m ;
- Plancher, garde-corps et lisse supérieure en aluminium ;
- Treuils montés sur les étriers d'extrémité ;
- Transport A/R ;
- Location d'une grue mobile pour installation / Démontage ;
- Montage / Démontage ;
- Réception par un organisme de contrôle indépendant (Validité 6 mois).",09,375.0,P201435,30 ALLIANCE BTP,ALLIANCE BTP,fourniture et mise en oeuvre un wc chimique compris vidange hebdomadaire duree de location mois installation une plateforme motorisee de type modulo permettant acces aux balcons du eme au eme etage depuis la facade de immeuble selon dossier technique etabli par la ste sky acces joint en annexe de la presente offre comprenant location plateforme modulo durant les travaux longeur maxi plancher garde corps et lisse superieure en aluminium treuils montes sur les etriers extremite transport location une grue mobile pour installation demontage montage demontage reception par un organisme de controle independant validite mois,fourniture et mise en oeuvre un wc chimique compris vidange hebdomadaire duree de location mois installation une plateforme motorisee de type modulo permettant acces aux balcons du eme au eme etage depuis la facade de immeuble selon dossier technique etabli par la ste sky acces joint en annexe de la presente offre comprenant location plateforme modulo durant les travaux longeur maxi plancher garde corps et lisse superieure en aluminium treuils montes sur les etriers extremite transport location une grue mobile pour installation demontage montage demontage reception par un organisme de controle independant validite mois
85269,2,Mise en place d'un WC chimique,09,279.0,P201274,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
85292,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,630.0,P201369,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
85412,2,Mise en place d'un WC chimique durant le chantier,09,975.0,P201253,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique durant le chantier,mise en place un wc chimique durant le chantier
85501,2,Mise en place d'un WC chimique pendant la durée des travaux,09,480.0,P201436,57 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85656,2,"Etat des lieux avant démarrage des travaux
Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,165.0,P201383,13 ALLIANCE BTP,ALLIANCE BTP,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,etat des lieux avant demarrage des travaux mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
85796,2,Mise en place d'un WC chimique pendant la durée des travaux,09,234.0,P201399,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85803,2,Mise en place d'un WC chimique pendant la durée des travaux,09,234.0,P201239,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
85889,2,Installation d'un WC chimique pour la durée du chantier,09,1046.0,P201215,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
86084,2,"Location, installation et repliement des WC chimiques",09,416.0,P201286,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
86116,2,"Location, installation et repliement des WC chimiques",09,780.0,P201326,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
86245,2,Mise en place d'un wc chimique,09,450.0,P201275,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
86286,2,Mise en place d'un WC chimique pendant la durée des travaux (2 mois),09,450.0,P201287,59 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux mois,mise en place un wc chimique pendant la duree des travaux mois
86458,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,189.0,P201240,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
86506,2,"Location, installation et repliement des WC chimiques",09,520.0,P201141,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
86655,2,Mise en place d'un WC chimique pendant la durée des travaux,09,390.0,P201258,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
86741,2,Mise en place d'un WC chimique pendant la durée des travaux,09,516.0,P201244,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
86768,2,Mise en place d'un WC chimiques pendant la durée des travaux,09,150.0,P201335,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimiques pendant la duree des travaux,mise en place un wc chimiques pendant la duree des travaux
86833,2,"Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,225.0,P201181,59 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
86834,2,Mise en place de WC chimique durant la durée des travaux,09,790.0,P201203,13 ALLIANCE BTP,ALLIANCE BTP,mise en place de wc chimique durant la duree des travaux,mise en place de wc chimique durant la duree des travaux
86901,2,"Location, installation et repliement de wc chimiques",09,165.0,P201277,69 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement de wc chimiques,location installation et repliement de wc chimiques
87069,2,"Location, installation et repliement des wc chimiques",09,1000.0,P201327,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
87112,2,"Installation de chantier conforme (WC chimique, branchement armoire, etc.)",09,2000.0,P201278,59 ALLIANCE BTP,ALLIANCE BTP,installation de chantier conforme wc chimique branchement armoire etc,installation de chantier conforme wc chimique branchement armoire etc
87308,2,Mise en place d'un WC chimique pendant la durée des travaux,09,75.0,P201012,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
87641,2,"Location, installation et repliement des WC chimiques",09,624.0,P201280,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
87733,2,"Location, installation et repliement des wc chimiques",09,1559.85,P201307,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
87749,2,Mise en place d'un wc chimique,09,243.0,P201281,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
87807,2,Mise en place d'un WC chimique,09,225.0,P201300,69 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
87860,2,Installation d'un WC chimique pour la durée du chantier,09,675.0,P201338,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
87982,2,"Installation de chantier complète comprenant une mise en place d'une base de vie roulotte avec WC chimiques et un tableau de chantier avec bouton d'arrêt d'urgence.
Nota 2: La consommation d'eau et d électricité sera à la charge du maître d'ouvrage.",09,450.0,P201318,75 ALLIANCE BTP,ALLIANCE BTP,installation de chantier complete comprenant une mise en place une base de vie roulotte avec wc chimiques et un tableau de chantier avec bouton arret urgence nota la consommation eau et electricite sera la charge du maitre ouvrage,installation de chantier complete comprenant une mise en place une base de vie roulotte avec wc chimiques et un tableau de chantier avec bouton arret urgence nota la consommation eau et electricite sera la charge du maitre ouvrage
87984,2,WC chimiques,09,150.0,P201318,75 ALLIANCE BTP,ALLIANCE BTP,wc chimiques,wc chimiques
88048,2,"WC chimiques
Ravalement partiel 3 façades
S = 29.68 *3.00m  = 71.04 m² + pointe de pignon 20m2",02,150.0,P201318,75 ALLIANCE BTP,ALLIANCE BTP,wc chimiques ravalement partiel facades pointe de pignon,wc chimiques ravalement partiel facades pointe de pignon
88049,2,"Location, installation et repliement des WC chimiques",09,312.0,P201159,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
88085,2,Installation du chantier y compris location WC chimique,09,1498.8,P201183,75 ALLIANCE BTP,ALLIANCE BTP,installation du chantier compris location wc chimique,installation du chantier compris location wc chimique
88154,2,Mise en place d'un WC chimique durant le chantier,09,1950.0,P201329,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique durant le chantier,mise en place un wc chimique durant le chantier
88215,2,"Installation de WC chimiques pendant la durée du chantier, conformément à la législation du code du travail",09,420.0,P201340,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail
88427,2,"Location, installation et repli des WC chimiques",09,470.0,P201322,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repli des wc chimiques,location installation et repli des wc chimiques
88459,2,Mise en place de WC chimique durant la durée des travaux,09,237.0,P201341,13 ALLIANCE BTP,ALLIANCE BTP,mise en place de wc chimique durant la duree des travaux,mise en place de wc chimique durant la duree des travaux
88598,2,"Location, installation et repliement du WC chimique",09,750.0,P201310,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimique,location installation et repliement du wc chimique
88699,2,"Location, installation et repliement du wc chimique",09,700.0,P201134,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimique,location installation et repliement du wc chimique
88781,2,"Installation de WC chimiques pendant la durée du chantier , conformément à la législation du code du travail.",09,135.0,P201161,75 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimiques pendant la duree du chantier conformement la legislation du code du travail
88924,2,Mise en place d'une base de vie roulotte avec WC chimiques et réfectoire,09,1250.0,P201064,75 ALLIANCE BTP,ALLIANCE BTP,mise en place une base de vie roulotte avec wc chimiques et refectoire,mise en place une base de vie roulotte avec wc chimiques et refectoire
88939,2,"Location, installation et repliement de wc chimiques",09,165.0,P201213,69 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement de wc chimiques,location installation et repliement de wc chimiques
88989,2,Mise en place d'un WC chimique pendant la durée des travaux,09,1290.0,P201346,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
89009,2,Mise en place d'un WC chimique pendant la durée des travaux,09,360.0,P201345,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
89211,2,"Location, installation et repliement des WC chimiques",09,530.0,P201348,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
89278,2,Mise en place d'un WC chimique pendant la durée des travaux,09,387.0,P201120,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
89350,2,Wc chimiques,09,500.0,P201176,75 ALLIANCE BTP,ALLIANCE BTP,wc chimiques,wc chimiques
89411,2,Installation d'un WC chimique pour la durée du chantier,09,270.0,P201211,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
89414,2,"Location, installation et repliement du wc chimique
Branchement d'électricité par armoire électrique avec compteur et disjoncteur",09,700.0,P201135,44 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement du wc chimique branchement electricite par armoire electrique avec compteur et disjoncteur,location installation et repliement du wc chimique branchement electricite par armoire electrique avec compteur et disjoncteur
89663,2,Mise en place d'un WC chimique pendant la durée des travaux,09,860.0,P201167,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
89731,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,252.0,P201163,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
89850,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,189.0,P201052,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
89865,2,Mise en place d'un WC chimique pendant la durée des travaux,09,516.0,P201121,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
89932,2,Mise en place d'un WC chimique pendant la durée des travaux,09,159.0,P201129,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
90034,2,Mise en place de WC chimique durant la durée des travaux,09,790.0,P201085,13 ALLIANCE BTP,ALLIANCE BTP,mise en place de wc chimique durant la duree des travaux,mise en place de wc chimique durant la duree des travaux
90177,2,"Installation de chantier conforme (WC chimique, branchement armoire, etc.)",09,1600.0,P201124,59 ALLIANCE BTP,ALLIANCE BTP,installation de chantier conforme wc chimique branchement armoire etc,installation de chantier conforme wc chimique branchement armoire etc
90211,2,Mise en place d'un WC chimique pendant la durée des travaux,09,114.0,P201166,59 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
90242,2,Mise en place d'un WC chimique pendant la durée des travaux,09,780.0,P201179,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
90299,2,Mise en place d'un WC chimique durant les travaux,09,162.0,P201137,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique durant les travaux,mise en place un wc chimique durant les travaux
90506,2,Installation d'un WC chimique pour la durée du chantier,09,900.0,P201053,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
90603,2,"Location, installation et repliement des WC chimiques",09,432.0,P201128,75 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
90777,2,"Location, installation et repliement des WC chimiques",09,312.0,P201072,59 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement des wc chimiques,location installation et repliement des wc chimiques
