,cid,line_lib,code,price_subtotal,fac_ref,agence_name,company_name,lib_clean,lib_short
49872,2,Mise en place d''une base de vie comprenant une roulotte et un WC chimique,09,288.0,P211035,69 ALLIANCE BTP,ALLIANCE BTP,mise en place une base de vie comprenant une roulotte et un wc chimique,mise en place une base de vie comprenant une roulotte et un wc chimique
49922,13,Location WC chimiques,01,170.0,SO13035,13 SOLINJECTION,SOLINJECTION,location wc chimiques,location wc chimiques
50137,2,"Location, installation et repliement de wc chimiques",09,150.0,P211026,69 ALLIANCE BTP,ALLIANCE BTP,location installation et repliement de wc chimiques,location installation et repliement de wc chimiques
50248,2,Mise en place d'un WC chimique pendant la durée des travaux,09,258.0,P211044,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
50324,2,Mise en place d'un WC chimique,09,200.0,P212342,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique,mise en place un wc chimique
50452,2,Mise en place d'un WC chimique pendant la durée des travaux,09,360.0,P210996,31 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux,mise en place un wc chimique pendant la duree des travaux
50573,2,Installation d'un WC chimique pour la durée du chantier,09,900.0,P210986,57 ALLIANCE BTP,ALLIANCE BTP,installation un wc chimique pour la duree du chantier,installation un wc chimique pour la duree du chantier
50586,2,Mise en place d'un WC chimiques pendant la durée des travaux,09,250.0,P212343,75 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimiques pendant la duree des travaux,mise en place un wc chimiques pendant la duree des travaux
50668,2,"Installation de WC chimique pendant la durée du chantier, conformément à la législation du code du travail",09,675.0,P211027,57 ALLIANCE BTP,ALLIANCE BTP,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail,installation de wc chimique pendant la duree du chantier conformement la legislation du code du travail
50700,2,"Mise en place d'un WC chimique pendant la durée des travaux
Nota : En l'absence de plan de recollement des réseaux de la villa, aucun travaux de dévoiement de réseau n'est prévu dans cette offre.",09,99.0,P211016,13 ALLIANCE BTP,ALLIANCE BTP,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre,mise en place un wc chimique pendant la duree des travaux nota en absence de plan de recollement des reseaux de la villa aucun travaux de devoiement de reseau est prevu dans cette offre
